CallSign,StationLat,StationLon,Service,RFChannel,LicenseExpirationDate,StatusDate,Status,CommunityCity,CommunityState,FacilityType,Frequency,ActiveInd,PartyName,PartyAddress1,PartyAddress2,PartyCity,PartyZip1,PartyState,PartyPhone
KWUF-FM,37.192222,-107.099194,FM Station,291,04/01/2029,,LICENSED,PAGOSA SPRINGS,CO,H,106.1,Y,"WOLF CREEK BROADCASTING, LLC",702 SOUTH 10TH STREET,P.O. BOX 780,PAGOSA SPRINGS,81147,CO,(970)264-5983
WRJY,31.194389,-81.4915,FM Station,281,04/01/2028,,LICENSED,BRUNSWICK,GA,H,104.1,Y,"GOLDEN ISLES BROADCASTING, LLC",185 BENEDICT ROAD,,ST. SIMONS ISLAND,31520,GA,(912)261-1000
WQLB,44.413361,-83.620528,FM Station,277,10/01/2028,,LICENSED,TAWAS CITY,MI,H,103.3,Y,"CARROLL BROADCASTING, INC.",P.O. BOX 549,,TAWAS CITY,48764,MI,
KOTY,,,FM Station,204,10/01/2029,,LICENSED,SAN MATEO,NM,EDT,88.7,Y,"Cheyenne Broadcasting Foundation, Inc.",7311 Christensen Road,,Cheyenne,82009,WY,3074608695
KOTY,,,FM Station,204,10/01/2029,,LICENSED,SAN MATEO,NM,EDT,88.7,Y,"Cheyenne Broadcasting Foundation, Inc.",7311 Christensen Road,,Cheyenne,82009,WY,3074608695
WJNI,32.9285,-80.103417,FM Station,292,12/01/2027,07/12/2001,LICENSED,LADSON,SC,CDT,106.3,Y,Daniels,"60 MARKFIELD DRIVE, UNIT 4",,CHARLESTON,29407,SC,8437636631
WEGE,40.723111,-84.083556,FM Station,285,10/01/2028,,LICENSED,LIMA,OH,H,104.9,Y,WOOF BOOM RADIO OF LIMA LLC,800 EAST 29TH STREET,,MUNCIE,47302,IN,(765)288-4403
WRBE-FM,30.932944,-88.605833,FM Station,295,06/01/2028,,LICENSED,LUCEDALE,MS,H,106.9,Y,JDL CORPORATION,P.O. BOX  827,,LUCEDALE,39452,MS,(601)947-8151
WEQC,,,FM Station,276,,,CP OFF AIR,CRANDON,WI,CDT,103.1,Y,"The Salvation Poem Foundation, Inc.",1314 Stannard Drive,,Sparta,54656,WI,6086338265
KWMV,,,FM Station,203,,,CP OFF AIR,MOUNTAIN VIEW,AR,EDT,88.5,Y,Community Educational Radio,5531 Elm Springs Rd,,Springdale,72762,AR,4794662448
WSSZ,,,FM Station,202,,,CP OFF AIR,KOKOMO,IN,EDT,88.3,Y,The Power Foundation,106 Assembly Drive,,Peidmont,29673,SC,8466762172
KIXV,,,FM Station,218,08/01/2029,,LICENSED,MULESHOE,TX,EDT,91.5,Y,New Path Communications,PO Box 2770,,Show Low,85902,AZ,9288929770
WOTO,,,FM Station,251,04/01/2029,08/23/2021,LICENSED,GRAND PORTAGE,MN,CDT,98.1,N,"MULTI-CULTURAL DIVERSITY RADIO, INC.",N4298 OAKLAND DRIVE,,WAUPACA,54981,WI,7153161409
WPIN-FM,37.024833,-80.745889,FM Station,218,10/01/2027,01/31/2002,LICENSED,DUBLIN,VA,ED,91.5,Y,"POSITIVE ALTERNATIVE RADIO, INC.",P.O. BOX 889,,BLACKSBURG,24063,VA,
KFFF,41.257222,-95.964444,FM Station,227,06/01/2029,05/05/2000,LICENSED,BENNINGTON,NE,CDT,93.3,Y,"IHM LICENSES, LLC",7136 S Yale Ave.,Suite 501,Tulsa,74136,OK,9186644581
KZMG,43.754889,-116.098444,FM Station,274,10/01/2029,12/06/2013,LICENSED,MELBA,ID,CDT,102.7,Y,Iliad Media Group Holdings Inc.,5660 EAST FRANKLIN RD.,Suite 200,Nampa,83687,ID,2083659966
WALN,33.218444,-88.096111,FM Station,207,04/01/2028,,LICENSED,CARROLLTON,AL,ED,89.3,Y,AMERICAN FAMILY ASSOCIATION,PO BOX 2440,,TUPELO,38801,MS,(662)844-8888
KIYS,35.953972,-90.694833,FM Station,269,06/01/2028,,LICENSED,WALNUT RIDGE,AR,CDT,101.7,Y,"EAST ARKANSAS BROADCASTERS, INC.",P.O. BOX 789,,WYNNE,72396,AR,8702388141
KKDV,37.900472,-122.086333,FM Station,221,12/01/2021,,LICENSED,WALNUT CREEK,CA,CDT,92.1,Y,Alpha Media Licensee LLC,1211 SW 5TH AVENUE,SUITE 750,PORTLAND,97204,OR,5035176200
KSAK,,,FM Station,211,12/01/2029,03/23/2022,LICENSED AND SILENT,WALNUT,CA,ED,90.1,Y,MOUNT SAN ANTONIO COMMUNITY COLLEGE DISTRICT,1100 NORTH GRAND AVENUE,,WALNUT,91789,CA,
KWCV,35.975361,-91.335972,FM Station,205,06/01/2028,11/21/2013,LICENSED,WALNUT RIDGE,AR,ED,88.9,Y,"COMMUNITY BROADCASTING, INC.","10550 BARKLEY, SUITE 108",,OVERLAND PARK,66212,KS,(913)642-7770
WCKK,32.833472,-89.347556,FM Station,244,06/01/2028,11/30/2011,LICENSED,WALNUT GROVE,MS,H,96.7,Y,"JOHNNY BOSWELL RADIO, LLC",P.O. BOX 1700,,KOSCIUSKO,39090,MS,
WZKT,35.291278,-77.823306,FM Station,249,12/01/2027,09/14/2004,LICENSED,WALNUT CREEK,NC,H,97.7,Y,"NEW AGE COMMUNICATIONS, INC.","3012 HIGHWOODS BLVD., SUITE 201",,RALEIGH,27604,NC,(919)790-9392
WAQB,34.474556,-88.728111,FM Station,215,06/01/2028,,LICENSED,TUPELO,MS,ED,90.9,Y,AMERICAN FAMILY ASSOCIATION,P.O. DRAWER 2440,,TUPELO,38803,MS,(662)844-8888
WKEL,43.070639,-77.092611,FM Station,201,06/01/2030,09/06/2019,LICENSED,WEBSTER,NY,EDT,88.1,Y,EDUCATIONAL MEDIA FOUNDATION,5700 WEST OAKS BOULEVARD,,ROCKLIN,95765,CA,9162511600
WAKD,34.836472,-87.62225,FM Station,210,04/01/2028,,LICENSED,SHEFFIELD,AL,ED,89.9,Y,AMERICAN FAMILY ASSOCIATION,PO BOX 2440,,TUPELO,38801,MS,(662)844-8888
KAPI,32.552361,-92.655972,FM Station,202,06/01/2028,,LICENSED,RUSTON,LA,ED,88.3,Y,AMERICAN FAMILY ASSOCIATION,PO BOX 2440,,TUPELO,38801,MS,(662)844-8888
KAPM,31.267972,-92.440139,FM Station,219,06/01/2028,,LICENSED,ALEXANDRIA,LA,ED,91.7,Y,AMERICAN FAMILY ASSOCIATION,PO BOX 2440,,TUPELO,38801,MS,(662)844-8888
KNEL-FM,31.124333,-99.359778,FM Station,237,08/01/2029,,LICENSED,BRADY,TX,H,95.3,Y,"FARRIS BROADCASTING, INC.",PO BOX 630,,BRADY,76825,TX,
KANX,34.290639,-92.4935,FM Station,216,06/01/2028,,LICENSED,SHERIDAN,AR,ED,91.1,Y,AMERICAN FAMILY ASSOCIATION,PO BOX 2440,,TUPELO,38801,MS,(662)844-8888
