"Status","Type","Previous Status","Account Name"
"New","Renewal","Verified","Smith Bookkeeping Financial Service Llc"
"New","Renewal","Verified","Extreme Clean Janitorial"
"New","Renewal","Verified","Premier Automotive"
"New","Renewal","Verified","Kai's Cleaning Services"
"New","Renewal","Verified","Essential Care Services LLC"
"New","Renewal","Put-Through","B & B Plumbing, Heating & Air Conditioning"
"New","Renewal","Verified","Chela's Housecleaning"
"New","Renewal","Verified","Menz-O-Matic Laundromat"
"New","Renewal","Verified","Winchester Auto"
"New","Renewal","Verified","Urtaxsolutions"
"New","Renewal","Verified","C&M Flor Design"
"New","Renewal","Put-Through","The Cherryville Animal Hospital"
"New","Renewal","Verified","Ray's Collision & Customs"
"New","Renewal","Put-Through","Rolling J Services"
"New","Renewal","Verified","Tax Office "
"New","Renewal","Verified","Sylvan Acres Apartments"
"New","Renewal","Verified","Barton Septic Tank Service"
"New","Renewal","Verified","Advance Professional Cleaning Service"
"New","Renewal","Verified","DBM Auto Repair"
"New","Renewal","Verified","Mercedes Expert LLC"
"New","Renewal","Verified","Downtown Car Care"
"New","Renewal","Put-Through","Extreme Automatics"
"New","Renewal","Put-Through","Jim's Custom Exhaust"
"New","Renewal","Verified","BRIAN'S HEATING ELECTRICAL AND AIR CONDITIONING"
"New","Renewal","Verified","Schopmeyer Pump & Well Service"
"New","Renewal","Verified","Blind Coffee Roasters"
"New","Renewal","Verified","Carolina CBD Hempire"
"New","Renewal","Verified","Ross Real Estate"
"New","Renewal","Verified","Custom Duct"
"New","Renewal","Verified","James Meyer and Associates"
"New","Renewal","Verified","Sickler Industries"
"New","Renewal","Verified","The Hajoca Corporation"
"New","Renewal","Verified","Jims Pressure Cleaning & Paint Service"
"New","Renewal","Verified","Elkhart Saint Joseph Counties Headstart Consortium"
"New","Renewal","Verified","CSKT Flathead Transit"
"New","Renewal","Verified","Frey's Gun Shop"
"New","Renewal","Verified","RR Tax Professionals"
"New","Renewal","Verified","Taylor Painting"
"New","Renewal","Verified","Family Auto Care"
"New","Renewal","Put-Through","Creative Problem Solving Group"
"New","Renewal","Verified","Don Laine Campground"
"New","Renewal","Verified","Taco Time"
"New","Renewal","Verified","Kardohely's Family Restaurant"
"New","Renewal","Verified","Kevin Smith Site Contractors"
"New","Renewal","Verified","Edone & Graham Tax Service"
"New","Renewal","Put-Through","Jazzy'z Little Treasures Childcare And Learning Center"
"New","Renewal","Verified","Key Systems Tax & Bookkeeping"
"New","Renewal","Put-Through","Ground Force Property Services, LLC"
"New","Renewal","Verified","Tommy's Hi-Tech Auto"
"New","Renewal","Verified","At Your Service Carpet Care"
"New","Renewal","Verified","Summit Inn"
"New","Renewal","Verified","Castle Bookkeeping Services"
"New","Renewal","Verified","Twin Cities Cannabis"
"New","Renewal","Verified","Bluffton Taxi"
"New","Renewal","Verified","Supreme Staffing"
"New","Renewal","Put-Through","Mandy Fame Adams Handy Mandy & Son Small Jobs"
"New","Renewal","Put-Through","Rocking B Ranch Enterprises LLC"
"New","Renewal","Verified","Lanc & Tully Engineering & Survey"
"New","Renewal","Verified","Williams Service Center"
"New","Renewal","Verified","Lovingood Tax Service"
"New","Renewal","Verified","Vinyl Fencing & Building Products"
"New","Renewal","Verified","Mosley Plumbing"
"New","Renewal","Verified","Buckler's Bookkeeeping & Tax Service"
"New","Renewal","Verified","Dent Away by Tom"
"New","Renewal","Verified","Ron Boelter Window, Siding & Roofing"
"New","Renewal","Verified","United Surfaces"
"New","Renewal","Verified","Custom Auto Care"
"New","Renewal","Verified","Infiniti Home Care LLC"
"New","Renewal","Verified","Rideouts Seasonal Services"
"New","Renewal","Verified","Smitty's Sew & Vac"
"New","Renewal","Verified","Smith Phillips Manufacturing & Machine Corp."
"New","Renewal","Verified","Pro-Tax Service"
"New","Renewal","Verified","A Down Express & TLW Transport Incorporated"
"New","Renewal","Put-Through","Nick Zawarski & Sons"
"New","Renewal","Verified","Southeraire Carpet Cleaning"
"New","Renewal","Verified","Fish Stalkerz Bait House"
"New","Renewal","Verified","RR Income Tax"
"New","Renewal","Verified","Sierra Maintenance & Construction"
"New","Renewal","Verified","Owens Welding Works"
"New","Renewal","Put-Through","Tobacco Barn"
"New","Renewal","Verified","Tax Help"
"New","Renewal","Put-Through","Stop-on-a-Dime Mobile Brake Service LLC"
"New","Renewal","Verified","Tnt Pizza"
"New","Renewal","Verified","CJ Vapors"
"New","Renewal","Verified","Rob's Janitorial Service"
